Model #Params: 5110K
/home/fong/anaconda3/envs/test_2018_cuda11.6/lib/python3.7/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
pretrain.py:46: UserWarning: nn.init.xavier_normal is now deprecated in favor of nn.init.xavier_normal_.
  nn.init.xavier_normal(param)
pretrain.py:44: UserWarning: nn.init.constant is now deprecated in favor of nn.init.constant_.
  nn.init.constant(param, 0)
/home/fong/anaconda3/envs/test_2018_cuda11.6/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
KL: 330.6, Word: 18.87, Topo: 73.27, Assm: 54.76, Steo: 47.18
KL: 213.1, Word: 25.91, Topo: 85.55, Assm: 59.37, Steo: 35.00
KL: 250.7, Word: 30.94, Topo: 88.85, Assm: 61.39, Steo: 38.50
KL: 236.0, Word: 38.05, Topo: 90.14, Assm: 58.85, Steo: 26.08
KL: 225.8, Word: 44.15, Topo: 91.06, Assm: 60.33, Steo: 46.25
KL: 265.0, Word: 48.34, Topo: 91.76, Assm: 61.80, Steo: 35.50
KL: 253.3, Word: 51.17, Topo: 92.13, Assm: 63.26, Steo: 43.39
KL: 234.7, Word: 54.32, Topo: 92.89, Assm: 62.26, Steo: 44.96
KL: 307.5, Word: 56.58, Topo: 92.46, Assm: 62.40, Steo: 60.50
KL: 265.3, Word: 58.69, Topo: 92.98, Assm: 63.27, Steo: 55.13
KL: 250.4, Word: 60.71, Topo: 92.11, Assm: 61.18, Steo: 43.08
KL: 298.2, Word: 62.23, Topo: 93.53, Assm: 63.37, Steo: 55.25
KL: 305.3, Word: 63.58, Topo: 93.97, Assm: 64.52, Steo: 39.17
KL: 274.2, Word: 63.85, Topo: 93.42, Assm: 64.50, Steo: 68.33
KL: 322.1, Word: 65.35, Topo: 94.26, Assm: 64.08, Steo: 92.50
KL: 330.2, Word: 65.77, Topo: 94.01, Assm: 65.74, Steo: 100.00
KL: 343.0, Word: 66.47, Topo: 93.40, Assm: 64.30, Steo: 97.50
KL: 333.6, Word: 66.04, Topo: 93.45, Assm: 65.23, Steo: 100.00
KL: 340.1, Word: 67.30, Topo: 94.65, Assm: 66.11, Steo: 98.33
KL: 373.3, Word: 68.23, Topo: 94.65, Assm: 67.30, Steo: 99.38
KL: 361.7, Word: 68.53, Topo: 93.96, Assm: 66.64, Steo: 100.00
KL: 394.2, Word: 69.35, Topo: 94.30, Assm: 67.33, Steo: 100.00
KL: 391.0, Word: 69.48, Topo: 94.32, Assm: 68.28, Steo: 95.42
KL: 427.4, Word: 69.90, Topo: 94.68, Assm: 68.68, Steo: 100.00
KL: 374.1, Word: 69.32, Topo: 95.09, Assm: 69.20, Steo: 99.17
KL: 440.5, Word: 70.47, Topo: 94.84, Assm: 71.35, Steo: 100.00
KL: 448.6, Word: 71.20, Topo: 95.00, Assm: 69.20, Steo: 100.00
KL: 461.5, Word: 71.72, Topo: 95.12, Assm: 68.42, Steo: 98.33
KL: 469.9, Word: 72.74, Topo: 95.30, Assm: 70.49, Steo: 100.00
KL: 452.5, Word: 72.96, Topo: 95.29, Assm: 71.16, Steo: 100.00
KL: 468.9, Word: 72.73, Topo: 95.01, Assm: 71.04, Steo: 100.00
KL: 476.0, Word: 73.35, Topo: 95.37, Assm: 72.01, Steo: 100.00
KL: 486.4, Word: 74.39, Topo: 95.06, Assm: 72.17, Steo: 97.50
KL: 508.1, Word: 73.34, Topo: 95.53, Assm: 72.43, Steo: 100.00
KL: 474.3, Word: 73.78, Topo: 94.90, Assm: 73.73, Steo: 100.00
KL: 477.7, Word: 73.89, Topo: 95.03, Assm: 73.68, Steo: 100.00
KL: 528.0, Word: 74.04, Topo: 95.69, Assm: 74.70, Steo: 100.00
KL: 523.9, Word: 74.94, Topo: 95.98, Assm: 76.42, Steo: 100.00
KL: 505.7, Word: 75.38, Topo: 95.70, Assm: 74.75, Steo: 100.00
KL: 533.3, Word: 76.24, Topo: 95.85, Assm: 75.29, Steo: 100.00
KL: 506.9, Word: 76.52, Topo: 96.10, Assm: 78.01, Steo: 100.00
KL: 493.6, Word: 75.47, Topo: 95.85, Assm: 76.24, Steo: 100.00
KL: 554.4, Word: 76.35, Topo: 96.22, Assm: 76.02, Steo: 100.00
KL: 520.1, Word: 77.11, Topo: 95.97, Assm: 76.90, Steo: 100.00
KL: 545.9, Word: 76.84, Topo: 95.93, Assm: 77.49, Steo: 100.00
KL: 548.8, Word: 77.47, Topo: 96.26, Assm: 77.80, Steo: 100.00
KL: 556.5, Word: 77.26, Topo: 96.18, Assm: 76.85, Steo: 100.00
KL: 587.2, Word: 77.10, Topo: 95.93, Assm: 77.23, Steo: 100.00
KL: 589.0, Word: 78.04, Topo: 96.26, Assm: 80.30, Steo: 100.00
KL: 567.7, Word: 77.58, Topo: 96.24, Assm: 79.71, Steo: 100.00
KL: 621.8, Word: 78.37, Topo: 96.24, Assm: 78.12, Steo: 100.00
KL: 577.8, Word: 78.14, Topo: 96.31, Assm: 76.97, Steo: 98.33
KL: 583.6, Word: 78.36, Topo: 96.54, Assm: 80.10, Steo: 100.00
KL: 592.9, Word: 78.14, Topo: 96.57, Assm: 78.89, Steo: 100.00
